sage;sagen
gleisen;gleis
tokjo;tokio
muss;müssen
esst;essen
känguruh;känguru
vergisst;vergessen
gärtnern;gärtner
nötigen;nötig
grossen;gross
grosser;gross
grosser;gross
kreisen;kreis
sagt;sagen
schnellen;schnell
müsst;müssen
türe;tür
kellern;keller
komm;kommen
zimmern;zimmer
dunkeln;dunkel
paaren;paar
ecken;ecke
nähen;nah
pausen;pause
wochenend;wochenende
solcher;solch
sieht;sehen
kommt;kommen
passt;passen
müssten;müssen
platzen;platz
hausen;haus
einen;ein
a-bach;a-bach
abarbeiten;abarbeiten
abarth;abarth
abbiegen;abbiegen
abbiegen;abbiegen
abbuchen;abbuchen
abdruck;abdruck
abdrücke;abdrücken
abdrücken;abdrücken
abdrücken;abdrücken
abend;abend
abendessen;abendessen
abergläubisch;abergläubisch
abfahre;abfahren
abfahren;abfahren
abfahren;abfahren
abfahrt;abfahren
abfalleimer;abfalleimer
abgebaut;abgebaut
abgebaut;abbauen
abgeben;abgeben
abgebildet;abbilden
abgebrochen;abgebrochen
abgebrochen;abbrechen
abgefahren;abgefahren
abgefahren;abfahren
abgegangen;abgehen
abgegolten;abgegolten
abgegolten;abgelten
abgehängt;abhängen
abgehauen;abgehauen
abgehauen;abgehaue
abgehauen;abhauen
abgeht;abgehen
abgeklärt;abgeklärt
abgeklärt;abklären
abgeknickt;abgeknickt
abgeknickt;abknicken
abgelaufen;abgelaufen
abgeleckt;abgeleckt
abgeleckt;ablecken
abgelegen;abgelegen
abgelegen;abliegen
abgelegt;abgelegt
abgelegt;ablegen
abgeleitet;abgeleitet
abgeleitet;abgeleiten
abgeleitet;ableiten
abgelenkt;abgelenkt
abgelenkt;ablenken
abgelöscht;abgelöscht
abgelöscht;ablöschen
abgelöst;abgelöst
abgelöst;ablösen
abgemacht;abgemacht
abgemacht;abgemacht
abgemacht;abmachen
abgemeldet;abgemeldet
abgemeldet;abmelden
abgenommen;abgenommen
abgenommen;abnehmen
abgerechnet;abgerechnet
abgerechnet;abrechnen
abgerissen;abgerissen
abgerissen;abreissen
abgesagt;abgesagt
abgesagt;absagen
abgeschaltet;abgeschaltet
abgeschaltet;abschalten
abgeschickt;abgeschickt
abgeschickt;abschicken
abgeschleppt;abgeschleppt
abgeschleppt;abschleppen
abgeschlossen;abgeschlossen
abgeschlossen;abschliessen
abgeschnitten;abgeschnitten
abgeschnitten;abschneiden
abgeschossen;abgeschossen
abgeschossen;abschiessen
abgeschreckt;abgeschreckt
abgeschreckt;abschrecken
